source,hour_start_UTC,lon0,lat0,lon1,lat1,mass_kg
TK1,2023-03-19T04:00:00,80.0,38.0,81.0,39.0,3551.181117502783
TK1,2023-03-19T04:00:00,80.0,39.0,81.0,40.0,102274.01618408023
TK1,2023-03-19T04:00:00,80.0,40.0,81.0,41.0,98722.83506657738
TK1,2023-03-19T04:00:00,80.0,41.0,81.0,42.0,177.55905587513908
TK1,2023-03-19T04:00:00,81.0,38.0,82.0,39.0,14737.401637636549
TK1,2023-03-19T04:00:00,81.0,39.0,82.0,40.0,141337.00847661163
TK1,2023-03-19T04:00:00,81.0,40.0,82.0,41.0,142047.2447001122
TK1,2023-03-19T04:00:00,81.0,41.0,82.0,42.0,79724.0160879371
TK1,2023-03-19T04:00:00,82.0,39.0,83.0,40.0,110086.61464258652
TK1,2023-03-19T04:00:00,82.0,40.0,83.0,41.0,142047.2447001122
TK1,2023-03-19T04:00:00,82.0,41.0,83.0,42.0,129973.22890060251
TK1,2023-03-19T04:00:00,83.0,39.0,84.0,40.0,103339.37051933109
TK1,2023-03-19T04:00:00,83.0,40.0,84.0,41.0,142047.2447001122
TK1,2023-03-19T04:00:00,83.0,41.0,84.0,42.0,115590.94537471594
TK1,2023-03-19T04:00:00,84.0,38.0,85.0,39.0,66051.9687855511
TK1,2023-03-19T04:00:00,84.0,39.0,85.0,40.0,142047.2447001122
TK1,2023-03-19T04:00:00,84.0,40.0,85.0,41.0,142047.2447001122
TK1,2023-03-19T04:00:00,84.0,41.0,85.0,42.0,94283.8586696988
TK1,2023-03-19T04:00:00,85.0,37.0,86.0,38.0,177.55905587513908
TK1,2023-03-19T04:00:00,85.0,38.0,86.0,39.0,134412.20529748106
TK1,2023-03-19T04:00:00,85.0,39.0,86.0,40.0,142047.2447001122
TK1,2023-03-19T04:00:00,85.0,40.0,86.0,41.0,142047.2447001122
TK1,2023-03-19T04:00:00,85.0,41.0,86.0,42.0,69780.7089589291
TK1,2023-03-19T04:00:00,86.0,38.0,87.0,39.0,104404.72485458195
TK1,2023-03-19T04:00:00,86.0,39.0,87.0,40.0,142047.2447001122
TK1,2023-03-19T04:00:00,86.0,40.0,87.0,41.0,138673.6226384845
TK1,2023-03-19T04:00:00,86.0,41.0,87.0,42.0,3728.740173377922
TK1,2023-03-19T04:00:00,87.0,38.0,88.0,39.0,79368.89797618681
TK1,2023-03-19T04:00:00,87.0,39.0,88.0,40.0,142047.2447001122
TK1,2023-03-19T04:00:00,87.0,40.0,88.0,41.0,142047.2447001122
TK1,2023-03-19T04:00:00,87.0,41.0,88.0,42.0,101741.3390164548
TK1,2023-03-19T04:00:00,88.0,37.0,89.0,38.0,5859.448843879592
TK1,2023-03-19T04:00:00,88.0,38.0,89.0,39.0,125356.6934478488
TK1,2023-03-19T04:00:00,88.0,39.0,89.0,40.0,142047.2447001122
TK1,2023-03-19T04:00:00,88.0,40.0,89.0,41.0,142047.2447001122
TK1,2023-03-19T04:00:00,88.0,41.0,89.0,42.0,125179.13439197365
TK1,2023-03-19T04:00:00,89.0,37.0,90.0,38.0,4438.976396878478
TK1,2023-03-19T04:00:00,89.0,38.0,90.0,39.0,134767.32340923135
TK1,2023-03-19T04:00:00,89.0,39.0,90.0,40.0,142047.2447001122
TK1,2023-03-19T04:00:00,89.0,40.0,90.0,41.0,142047.2447001122
TK1,2023-03-19T04:00:00,89.0,41.0,90.0,42.0,110619.29181021194
TK1,2023-03-19T05:00:00,80.0,38.0,81.0,39.0,3586.0463222463395
TK1,2023-03-19T05:00:00,80.0,39.0,81.0,40.0,103278.13408069422
TK1,2023-03-19T05:00:00,80.0,40.0,81.0,41.0,99692.08775844796
TK1,2023-03-19T05:00:00,80.0,41.0,81.0,42.0,179.30231611231704
TK1,2023-03-19T05:00:00,81.0,38.0,82.0,39.0,14882.0922373223
