source,hour_start_UTC,lon0,lat0,lon1,lat1,mass_kg
TK1,2023-03-19T08:00:00,80.0,39.0,81.0,40.0,134049.71362885504
TK1,2023-03-19T08:00:00,80.0,40.0,81.0,41.0,4441.2046432537645
TK1,2023-03-19T08:00:00,81.0,39.0,82.0,40.0,275298.8341578038
TK1,2023-03-19T08:00:00,81.0,40.0,82.0,41.0,95711.41527690618
TK1,2023-03-19T08:00:00,81.0,41.0,82.0,42.0,825310.5355579844
TK1,2023-03-19T08:00:00,82.0,40.0,83.0,41.0,805260.8079376318
TK1,2023-03-19T08:00:00,82.0,41.0,83.0,42.0,3517081.6427256283
TK1,2023-03-19T08:00:00,83.0,39.0,84.0,40.0,1840573.834057144
TK1,2023-03-19T08:00:00,83.0,40.0,84.0,41.0,1539176.4824080844
TK1,2023-03-19T08:00:00,83.0,41.0,84.0,42.0,2192234.296392472
TK1,2023-03-19T08:00:00,84.0,38.0,85.0,39.0,1139150.5853233153
TK1,2023-03-19T08:00:00,84.0,39.0,85.0,40.0,4699219.579322889
TK1,2023-03-19T08:00:00,84.0,40.0,85.0,41.0,2565074.0622930205
TK1,2023-03-19T08:00:00,84.0,41.0,85.0,42.0,229901.139903438
TK1,2023-03-19T08:00:00,85.0,38.0,86.0,39.0,1457961.6672742984
TK1,2023-03-19T08:00:00,85.0,40.0,86.0,41.0,2185195.789892036
TK1,2023-03-19T08:00:00,86.0,38.0,87.0,39.0,34654.58671946515
TK1,2023-03-19T08:00:00,88.0,37.0,89.0,38.0,26.541090543686707
TK1,2023-03-19T08:00:00,88.0,38.0,89.0,39.0,26.49552453782937
TK1,2023-03-19T09:00:00,80.0,39.0,81.0,40.0,4484.11761164092
TK1,2023-03-19T09:00:00,81.0,38.0,82.0,39.0,8178.320942561345
TK1,2023-03-19T09:00:00,81.0,39.0,82.0,40.0,108346.96804153876
TK1,2023-03-19T09:00:00,81.0,40.0,82.0,41.0,30294.10560790638
TK1,2023-03-19T09:00:00,81.0,41.0,82.0,42.0,205534.3236936982
TK1,2023-03-19T09:00:00,82.0,40.0,83.0,41.0,1023073.0457964499
TK1,2023-03-19T09:00:00,82.0,41.0,83.0,42.0,1612724.8227095192
TK1,2023-03-19T09:00:00,83.0,39.0,84.0,40.0,1251892.9624882408
TK1,2023-03-19T09:00:00,83.0,40.0,84.0,41.0,3144557.7914632466
TK1,2023-03-19T09:00:00,83.0,41.0,84.0,42.0,2041043.5073122145
TK1,2023-03-19T09:00:00,84.0,38.0,85.0,39.0,1292213.3228659302
TK1,2023-03-19T09:00:00,84.0,39.0,85.0,40.0,5561380.275488402
TK1,2023-03-19T09:00:00,84.0,40.0,85.0,41.0,1668753.1686619048
TK1,2023-03-19T09:00:00,84.0,41.0,85.0,42.0,480116.14416452986
TK1,2023-03-19T09:00:00,85.0,38.0,86.0,39.0,3717961.3937260387
TK1,2023-03-19T09:00:00,85.0,39.0,86.0,40.0,2442875.805900969
TK1,2023-03-19T09:00:00,85.0,40.0,86.0,41.0,94992.74872459269
TK1,2023-03-19T09:00:00,86.0,38.0,87.0,39.0,163941.82063757724
TK1,2023-03-19T09:00:00,86.0,39.0,87.0,40.0,238652.88363697747
TK1,2023-03-19T09:00:00,87.0,38.0,88.0,39.0,418797.354007175
TK1,2023-03-19T09:00:00,88.0,38.0,89.0,39.0,292.5384333243375
TK1,2023-03-19T10:00:00,81.0,39.0,82.0,40.0,43288.80940792422
TK1,2023-03-19T10:00:00,81.0,41.0,82.0,42.0,98924.47948474131
TK1,2023-03-19T10:00:00,82.0,40.0,83.0,41.0,432176.5501913916
TK1,2023-03-19T10:00:00,82.0,41.0,83.0,42.0,778336.4403249227
TK1,2023-03-19T10:00:00,83.0,39.0,84.0,40.0,756338.9081588967
TK1,2023-03-19T10:00:00,83.0,40.0,84.0,41.0,3138362.3027867144
TK1,2023-03-19T10:00:00,83.0,41.0,84.0,42.0,468442.3559963775
TK1,2023-03-19T10:00:00,84.0,38.0,85.0,39.0,1062569.7433600277
TK1,2023-03-19T10:00:00,84.0,39.0,85.0,40.0,3403254.4230113686
TK1,2023-03-19T10:00:00,84.0,40.0,85.0,41.0,3887284.4182133246
TK1,2023-03-19T10:00:00,84.0,41.0,85.0,42.0,940806.729847317
TK1,2023-03-19T10:00:00,85.0,37.0,86.0,38.0,1720.0514565115632
TK1,2023-03-19T10:00:00,85.0,38.0,86.0,39.0,2333873.3135009464
TK1,2023-03-19T10:00:00,85.0,39.0,86.0,40.0,3693354.4990377156
TK1,2023-03-19T10:00:00,85.0,40.0,86.0,41.0,429118.1087920823
TK1,2023-03-19T10:00:00,86.0,38.0,87.0,39.0,1105083.893884646
TK1,2023-03-19T10:00:00,86.0,39.0,87.0,40.0,922488.4681062604
TK1,2023-03-19T10:00:00,86.0,40.0,87.0,41.0,29222.95548949681
TK1,2023-03-19T10:00:00,87.0,39.0,88.0,40.0,90082.34965234957
