source,hour_start_UTC,lon0,lat0,lon1,lat1,mass_kg
TK1,2023-03-18T21:00:00,87.0,40.0,88.0,41.0,132.6353158342548
TK1,2023-03-18T21:00:00,87.0,41.0,88.0,42.0,264.95387128833914
TK1,2023-03-18T22:00:00,82.0,41.0,83.0,42.0,10.467305658454872
TK1,2023-03-18T22:00:00,87.0,40.0,88.0,41.0,95.77639618920189
TK1,2023-03-18T23:00:00,87.0,40.0,88.0,41.0,80.05191323276576
TK1,2023-03-18T23:00:00,87.0,41.0,88.0,42.0,80.01369646308139
TK1,2023-03-18T23:00:00,88.0,41.0,89.0,42.0,158.53162404271663
TK1,2023-03-19T00:00:00,80.0,40.0,81.0,41.0,1663.278390111597
TK1,2023-03-19T00:00:00,82.0,41.0,83.0,42.0,13.228020837882541
TK1,2023-03-19T01:00:00,83.0,41.0,84.0,42.0,1085.381497010844
TK1,2023-03-19T01:00:00,84.0,41.0,85.0,42.0,72.33525366995543
TK1,2023-03-19T02:00:00,80.0,39.0,81.0,40.0,6209.685753047475
TK1,2023-03-19T02:00:00,80.0,40.0,81.0,41.0,95002.36276291918
TK1,2023-03-19T03:00:00,80.0,39.0,81.0,40.0,118572.55958678151
TK1,2023-03-19T03:00:00,80.0,40.0,81.0,41.0,352065.3222492813
TK1,2023-03-19T03:00:00,81.0,40.0,82.0,41.0,31081.892805563864
TK1,2023-03-19T03:00:00,87.0,40.0,88.0,41.0,146.60764693053295
TK1,2023-03-19T04:00:00,80.0,39.0,81.0,40.0,76200.81426528472
TK1,2023-03-19T04:00:00,80.0,40.0,81.0,41.0,275736.02459047886
TK1,2023-03-19T04:00:00,81.0,39.0,82.0,40.0,305558.07394771185
TK1,2023-03-19T04:00:00,81.0,40.0,82.0,41.0,61097.382260404745
TK1,2023-03-19T04:00:00,82.0,40.0,83.0,41.0,115396.02122822303
TK1,2023-03-19T04:00:00,82.0,41.0,83.0,42.0,423.23971381822656
TK1,2023-03-19T04:00:00,83.0,40.0,84.0,41.0,7750.613231878583
TK1,2023-03-19T05:00:00,80.0,39.0,81.0,40.0,38230.35238677571
TK1,2023-03-19T05:00:00,80.0,40.0,81.0,41.0,201371.6594653426
TK1,2023-03-19T05:00:00,81.0,39.0,82.0,40.0,143215.248991407
TK1,2023-03-19T05:00:00,81.0,41.0,82.0,42.0,5975.743045317291
TK1,2023-03-19T05:00:00,82.0,39.0,83.0,40.0,109487.83808420693
TK1,2023-03-19T05:00:00,82.0,40.0,83.0,41.0,527035.7262003127
TK1,2023-03-19T05:00:00,82.0,41.0,83.0,42.0,20026.978843906065
TK1,2023-03-19T05:00:00,83.0,40.0,84.0,41.0,157950.39073064164
TK1,2023-03-19T06:00:00,80.0,39.0,81.0,40.0,144573.75274994705
TK1,2023-03-19T06:00:00,80.0,40.0,81.0,41.0,55883.6077094265
TK1,2023-03-19T06:00:00,81.0,39.0,82.0,40.0,17134.41414386588
TK1,2023-03-19T06:00:00,81.0,40.0,82.0,41.0,2013.1618158825167
TK1,2023-03-19T06:00:00,81.0,41.0,82.0,42.0,19116.06087209331
TK1,2023-03-19T06:00:00,82.0,39.0,83.0,40.0,20785.257457394313
TK1,2023-03-19T06:00:00,82.0,40.0,83.0,41.0,125518.11108750028
TK1,2023-03-19T06:00:00,82.0,41.0,83.0,42.0,101543.91943275237
TK1,2023-03-19T06:00:00,83.0,39.0,84.0,40.0,189246.02940845047
TK1,2023-03-19T06:00:00,83.0,40.0,84.0,41.0,571080.9533028669
TK1,2023-03-19T06:00:00,84.0,40.0,85.0,41.0,234072.7439918022
TK1,2023-03-19T08:00:00,80.0,39.0,81.0,40.0,9512.886595404525
