source,hour_start_UTC,lon0,lat0,lon1,lat1,mass_kg
TK1,2023-03-19T08:00:00,80.0,39.0,81.0,40.0,46040.822717213014
TK1,2023-03-19T08:00:00,80.0,40.0,81.0,41.0,2361.0678316519516
TK1,2023-03-19T08:00:00,81.0,39.0,82.0,40.0,36596.55139060522
TK1,2023-03-19T08:00:00,81.0,40.0,82.0,41.0,40138.153138083144
TK1,2023-03-19T08:00:00,81.0,41.0,82.0,42.0,135761.40031998703
TK1,2023-03-19T08:00:00,82.0,40.0,83.0,41.0,34235.483558953274
TK1,2023-03-19T08:00:00,82.0,41.0,83.0,42.0,233745.71533354287
TK1,2023-03-19T08:00:00,83.0,39.0,84.0,40.0,67290.43320208055
TK1,2023-03-19T08:00:00,83.0,40.0,84.0,41.0,64929.3653704286
TK1,2023-03-19T08:00:00,83.0,41.0,84.0,42.0,210135.0370170234
TK1,2023-03-19T08:00:00,84.0,38.0,85.0,39.0,55485.094043820805
TK1,2023-03-19T08:00:00,84.0,39.0,85.0,40.0,135761.40031998703
TK1,2023-03-19T08:00:00,84.0,40.0,85.0,41.0,88540.04368694808
TK1,2023-03-19T08:00:00,84.0,41.0,85.0,42.0,16527.47482156366
TK1,2023-03-19T08:00:00,85.0,38.0,86.0,39.0,82637.3741078182
TK1,2023-03-19T08:00:00,85.0,40.0,86.0,41.0,75554.17061286236
TK1,2023-03-19T08:00:00,86.0,38.0,87.0,39.0,2361.0678316519516
TK1,2023-03-19T08:00:00,88.0,37.0,89.0,38.0,1180.5339158259758
TK1,2023-03-19T08:00:00,88.0,38.0,89.0,39.0,1180.5339158259758
TK1,2023-03-19T09:00:00,80.0,39.0,81.0,40.0,8263.73741078183
TK1,2023-03-19T09:00:00,81.0,38.0,82.0,39.0,5902.669579129879
TK1,2023-03-19T09:00:00,81.0,39.0,82.0,40.0,48401.89054886496
TK1,2023-03-19T09:00:00,81.0,40.0,82.0,41.0,42499.22096973509
TK1,2023-03-19T09:00:00,81.0,41.0,82.0,42.0,132219.7985725091
TK1,2023-03-19T09:00:00,82.0,40.0,83.0,41.0,103886.98459268574
TK1,2023-03-19T09:00:00,82.0,41.0,83.0,42.0,247912.12232345456
TK1,2023-03-19T09:00:00,83.0,39.0,84.0,40.0,97984.31501355587
TK1,2023-03-19T09:00:00,83.0,40.0,84.0,41.0,205412.9013537195
TK1,2023-03-19T09:00:00,83.0,41.0,84.0,42.0,253814.79190258443
TK1,2023-03-19T09:00:00,84.0,38.0,85.0,39.0,110970.18808764158
TK1,2023-03-19T09:00:00,84.0,39.0,85.0,40.0,362423.9121585765
TK1,2023-03-19T09:00:00,84.0,40.0,85.0,41.0,105067.51850851171
TK1,2023-03-19T09:00:00,84.0,41.0,85.0,42.0,81456.84019199223
TK1,2023-03-19T09:00:00,85.0,38.0,86.0,39.0,361243.3782427505
TK1,2023-03-19T09:00:00,85.0,39.0,86.0,40.0,135761.40031998703
TK1,2023-03-19T09:00:00,85.0,40.0,86.0,41.0,7083.203494955855
TK1,2023-03-19T09:00:00,86.0,38.0,87.0,39.0,21249.61048486756
TK1,2023-03-19T09:00:00,86.0,39.0,87.0,40.0,14166.40698991171
TK1,2023-03-19T09:00:00,87.0,38.0,88.0,39.0,56665.62795964678
TK1,2023-03-19T09:00:00,88.0,38.0,89.0,39.0,1180.5339158259758
TK1,2023-03-19T10:00:00,81.0,39.0,82.0,40.0,122775.52724590132
TK1,2023-03-19T10:00:00,81.0,41.0,82.0,42.0,275064.40238745225
TK1,2023-03-19T10:00:00,82.0,40.0,83.0,41.0,135761.40031998703
TK1,2023-03-19T10:00:00,82.0,41.0,83.0,42.0,373048.7174010105
TK1,2023-03-19T10:00:00,83.0,39.0,84.0,40.0,238467.85099684677
TK1,2023-03-19T10:00:00,83.0,40.0,84.0,41.0,632766.1788827311
TK1,2023-03-19T10:00:00,83.0,41.0,84.0,42.0,145205.67164659483
TK1,2023-03-19T10:00:00,84.0,38.0,85.0,39.0,393117.79397005256
TK1,2023-03-19T10:00:00,84.0,39.0,85.0,40.0,808665.7323408056
TK1,2023-03-19T10:00:00,84.0,40.0,85.0,41.0,674084.8659366412
TK1,2023-03-19T10:00:00,84.0,41.0,85.0,42.0,292772.4111248423
TK1,2023-03-19T10:00:00,85.0,37.0,86.0,38.0,1180.5339158259758
TK1,2023-03-19T10:00:00,85.0,38.0,86.0,39.0,888942.0386169738
TK1,2023-03-19T10:00:00,85.0,39.0,86.0,40.0,735472.6295595934
TK1,2023-03-19T10:00:00,85.0,40.0,86.0,41.0,80276.30627616626
TK1,2023-03-19T10:00:00,86.0,38.0,87.0,39.0,308119.35203058034
TK1,2023-03-19T10:00:00,86.0,39.0,87.0,40.0,181802.22303720002
TK1,2023-03-19T10:00:00,86.0,40.0,87.0,41.0,5902.669579129879
TK1,2023-03-19T10:00:00,87.0,39.0,88.0,40.0,22430.144400693534
TK1,2023-03-19T10:00:00,88.0,38.0,89.0,39.0,2361.0678316519516
TK1,2023-03-19T10:00:00,88.0,39.0,89.0,40.0,28332.813979823404
TK1,2023-03-19T11:00:00,81.0,39.0,82.0,40.0,74373.63669703639
TK1,2023-03-19T11:00:00,81.0,40.0,82.0,41.0,18888.542653215613
TK1,2023-03-19T11:00:00,81.0,41.0,82.0,42.0,273883.86847162625
TK1,2023-03-19T11:00:00,82.0,40.0,83.0,41.0,729569.9599804634
TK1,2023-03-19T11:00:00,82.0,41.0,83.0,42.0,453325.0236771787
TK1,2023-03-19T11:00:00,83.0,39.0,84.0,40.0,264439.5971450182
