city,idx,t_start_utc,t_end_utc,obs_pm10
Lanzhou,1,2023-03-20 13:00:00,2023-03-20 14:00:00,88.33333333333333
Lanzhou,2,2023-03-20 14:00:00,2023-03-20 15:00:00,1076.6666666666667
Lanzhou,3,2023-03-20 15:00:00,2023-03-20 16:00:00,1520.5
Lanzhou,4,2023-03-20 16:00:00,2023-03-20 17:00:00,1482.8333333333333
Lanzhou,5,2023-03-20 17:00:00,2023-03-20 18:00:00,1595.1666666666667
Lanzhou,6,2023-03-20 18:00:00,2023-03-20 19:00:00,1584.0
Lanzhou,7,2023-03-20 19:00:00,2023-03-20 20:00:00,1485.8333333333333
Lanzhou,8,2023-03-20 20:00:00,2023-03-20 21:00:00,1390.1666666666667
Lanzhou,9,2023-03-20 21:00:00,2023-03-20 22:00:00,1383.5
Lanzhou,10,2023-03-20 22:00:00,2023-03-20 23:00:00,1349.3333333333333
Lanzhou,11,2023-03-20 23:00:00,2023-03-21 00:00:00,1322.3333333333333
Lanzhou,12,2023-03-21 00:00:00,2023-03-21 01:00:00,1346.8333333333333
Lanzhou,13,2023-03-21 01:00:00,2023-03-21 02:00:00,1356.0
Lanzhou,14,2023-03-21 02:00:00,2023-03-21 03:00:00,1370.3333333333333
Lanzhou,15,2023-03-21 03:00:00,2023-03-21 04:00:00,1407.5
Lanzhou,16,2023-03-21 04:00:00,2023-03-21 05:00:00,1624.3333333333333
Lanzhou,17,2023-03-21 05:00:00,2023-03-21 06:00:00,1262.5
Lanzhou,18,2023-03-21 06:00:00,2023-03-21 07:00:00,1362.3333333333333
Lanzhou,19,2023-03-21 07:00:00,2023-03-21 08:00:00,1490.6666666666667
Lanzhou,20,2023-03-21 08:00:00,2023-03-21 09:00:00,1443.0
Lanzhou,21,2023-03-21 09:00:00,2023-03-21 10:00:00,1201.1666666666667
Lanzhou,22,2023-03-21 10:00:00,2023-03-21 11:00:00,1091.1666666666667
Lanzhou,23,2023-03-21 11:00:00,2023-03-21 12:00:00,1164.6666666666667
Lanzhou,24,2023-03-21 12:00:00,2023-03-21 13:00:00,1176.8333333333333
Lanzhou,25,2023-03-21 13:00:00,2023-03-21 14:00:00,1155.3333333333333
Lanzhou,26,2023-03-21 14:00:00,2023-03-21 15:00:00,1128.1666666666667
Lanzhou,27,2023-03-21 15:00:00,2023-03-21 16:00:00,1035.3333333333333
Lanzhou,28,2023-03-21 16:00:00,2023-03-21 17:00:00,898.0
Lanzhou,29,2023-03-21 17:00:00,2023-03-21 18:00:00,822.5
Lanzhou,30,2023-03-21 18:00:00,2023-03-21 19:00:00,785.8333333333334
Lanzhou,31,2023-03-21 19:00:00,2023-03-21 20:00:00,749.1666666666666
Lanzhou,32,2023-03-21 20:00:00,2023-03-21 21:00:00,719.1666666666666
Lanzhou,33,2023-03-21 21:00:00,2023-03-21 22:00:00,703.5833333333334
Lanzhou,34,2023-03-21 22:00:00,2023-03-21 23:00:00,688.0
Lanzhou,35,2023-03-21 23:00:00,2023-03-22 00:00:00,658.3333333333334
Lanzhou,36,2023-03-22 00:00:00,2023-03-22 01:00:00,640.0
Lanzhou,37,2023-03-22 01:00:00,2023-03-22 02:00:00,606.5
Lanzhou,38,2023-03-22 02:00:00,2023-03-22 03:00:00,599.5
Lanzhou,39,2023-03-22 03:00:00,2023-03-22 04:00:00,633.0
Lanzhou,40,2023-03-22 04:00:00,2023-03-22 05:00:00,637.6666666666666
Lanzhou,41,2023-03-22 05:00:00,2023-03-22 06:00:00,660.0
Lanzhou,42,2023-03-22 06:00:00,2023-03-22 07:00:00,590.8333333333334
Lanzhou,43,2023-03-22 07:00:00,2023-03-22 08:00:00,537.3333333333334
Lanzhou,44,2023-03-22 08:00:00,2023-03-22 09:00:00,480.1666666666667
Lanzhou,45,2023-03-22 09:00:00,2023-03-22 10:00:00,447.6666666666667
Beijing,1,2023-03-21 17:00:00,2023-03-21 18:00:00,173.35294117647058
Beijing,2,2023-03-21 18:00:00,2023-03-21 19:00:00,277.06862745098033
Beijing,3,2023-03-21 19:00:00,2023-03-21 20:00:00,330.8125
Beijing,4,2023-03-21 20:00:00,2023-03-21 21:00:00,1043.2941176470588
Beijing,5,2023-03-21 21:00:00,2023-03-21 22:00:00,1375.1176470588234
Beijing,6,2023-03-21 22:00:00,2023-03-21 23:00:00,1706.9411764705883
Beijing,7,2023-03-21 23:00:00,2023-03-22 00:00:00,1627.8235294117646
Beijing,8,2023-03-22 00:00:00,2023-03-22 01:00:00,1544.0
Beijing,9,2023-03-22 01:00:00,2023-03-22 02:00:00,1360.8235294117646
Beijing,10,2023-03-22 02:00:00,2023-03-22 03:00:00,1102.1764705882354
Beijing,11,2023-03-22 03:00:00,2023-03-22 04:00:00,985.8823529411765
Beijing,12,2023-03-22 04:00:00,2023-03-22 05:00:00,854.4705882352941
Beijing,13,2023-03-22 05:00:00,2023-03-22 06:00:00,727.8235294117648
Beijing,14,2023-03-22 06:00:00,2023-03-22 07:00:00,637.5882352941177
Beijing,15,2023-03-22 07:00:00,2023-03-22 08:00:00,540.5294117647059
Beijing,16,2023-03-22 08:00:00,2023-03-22 09:00:00,451.47058823529414
Beijing,17,2023-03-22 09:00:00,2023-03-22 10:00:00,371.4117647058824
Beijing,18,2023-03-22 10:00:00,2023-03-22 11:00:00,299.52941176470586
Beijing,19,2023-03-22 11:00:00,2023-03-22 12:00:00,268.94117647058823
Beijing,20,2023-03-22 12:00:00,2023-03-22 13:00:00,247.64705882352942
Beijing,21,2023-03-22 13:00:00,2023-03-22 14:00:00,225.1764705882353
